generation,hunting_strategy,prey_type,hunting_avg
14,pursuit,"Mouse",0.6885
15,pursuit,"Mouse",0.6290
16,pursuit,"Mouse",0.6016
17,pursuit,"Mouse",0.6462
18,pursuit,"Mouse",0.6667
19,pursuit,"Mouse",0.6257
20,pursuit,"Mouse",0.6646
21,pursuit,"Mouse",0.6176
22,pursuit,"Mouse",0.6007
23,pursuit,"Mouse",0.6120
24,pursuit,"Mouse",0.6496
25,pursuit,"Mouse",0.5993
26,pursuit,"Mouse",0.5992
27,pursuit,"Mouse",0.6454
28,pursuit,"Mouse",0.6128
29,pursuit,"Mouse",0.6255
30,pursuit,"Mouse",0.5888
31,pursuit,"Mouse",0.5670
32,pursuit,"Mouse",0.6166
33,pursuit,"Mouse",0.5412
34,pursuit,"Mouse",0.5902
35,pursuit,"Mouse",0.5682
36,pursuit,"Mouse",0.5901
37,pursuit,"Mouse",0.5759
38,pursuit,"Mouse",0.5745
39,pursuit,"Mouse",0.5643
40,pursuit,"Mouse",0.6087
41,pursuit,"Mouse",0.6283
42,pursuit,"Mouse",0.6505
43,pursuit,"Mouse",0.6200
44,pursuit,"Mouse",0.5900
45,pursuit,"Mouse",0.6765
46,pursuit,"Mouse",0.5300
47,pursuit,"Mouse",0.6139
48,pursuit,"Mouse",0.5670
49,pursuit,"Mouse",0.5464
50,pursuit,"Mouse",0.5657
51,pursuit,"Mouse",0.6100
52,pursuit,"Mouse",0.5882
53,pursuit,"Mouse",0.5258
54,pursuit,"Mouse",0.6200
55,pursuit,"Mouse",0.6316
56,pursuit,"Mouse",0.5745
57,pursuit,"Mouse",0.4688
58,pursuit,"Mouse",0.6458
59,pursuit,"Mouse",0.6250
60,pursuit,"Mouse",0.5918
61,pursuit,"Mouse",0.6289
62,pursuit,"Mouse",0.6100
63,pursuit,"Mouse",0.5700
64,pursuit,"Mouse",0.5859
65,pursuit,"Mouse",0.5979
66,pursuit,"Mouse",0.6277
67,pursuit,"Mouse",0.5102
68,pursuit,"Mouse",0.6364
69,pursuit,"Mouse",0.5481
70,pursuit,"Mouse",0.5900
71,pursuit,"Mouse",0.6139
72,pursuit,"Mouse",0.5588
73,pursuit,"Mouse",0.5347
74,pursuit,"Mouse",0.5446
75,pursuit,"Mouse",0.6364
76,pursuit,"Mouse",0.5577
77,pursuit,"Mouse",0.5631
78,pursuit,"Mouse",0.4800
79,pursuit,"Mouse",0.5657
80,pursuit,"Mouse",0.6122
81,pursuit,"Mouse",0.6162
82,pursuit,"Mouse",0.6796
83,pursuit,"Mouse",0.6602
84,pursuit,"Mouse",0.6020
85,pursuit,"Mouse",0.4583
86,pursuit,"Mouse",0.5000
87,pursuit,"Mouse",0.6049
88,pursuit,"Mouse",0.5300
89,pursuit,"Mouse",0.5800
90,pursuit,"Mouse",0.5800
91,pursuit,"Mouse",0.5612
92,pursuit,"Mouse",0.5556
93,pursuit,"Mouse",0.5204
94,pursuit,"Mouse",0.5900
95,pursuit,"Mouse",0.5149
96,pursuit,"Mouse",0.5408
97,pursuit,"Mouse",0.5347
98,pursuit,"Mouse",0.6364
99,pursuit,"Mouse",0.5446
100,pursuit,"Mouse",0.5714
0,ambush,"Bird",0.2722
0,pursuit,"Bird",0.0532
1,ambush,"Bird",0.3605
1,pursuit,"Bird",0.2230
2,pursuit,"Bird",0.3662
2,ambush,"Bird",0.3966
3,ambush,"Bird",0.4080
3,pursuit,"Bird",0.4038
4,ambush,"Bird",0.4854
4,pursuit,"Bird",0.3908
5,ambush,"Bird",0.4493
5,pursuit,"Bird",0.4030
6,ambush,"Bird",0.4831
6,pursuit,"Bird",0.4500
7,ambush,"Bird",0.5512
7,pursuit,"Bird",0.4583
8,ambush,"Bird",0.5200
8,pursuit,"Bird",0.4222
9,ambush,"Bird",0.5021
9,pursuit,"Bird",0.5556
10,ambush,"Bird",0.5413
10,pursuit,"Bird",0.5333
11,ambush,"Bird",0.5231
11,pursuit,"Bird",0.6591
12,ambush,"Bird",0.5204
12,pursuit,"Bird",0.4697
13,ambush,"Bird",0.5341
13,pursuit,"Bird",0.4909
14,ambush,"Bird",0.5089
14,pursuit,"Bird",0.4706
15,ambush,"Bird",0.5470
15,pursuit,"Bird",0.5435
16,pursuit,"Bird",0.6000
16,ambush,"Bird",0.5355
17,pursuit,"Bird",0.5156
17,ambush,"Bird",0.5374
18,ambush,"Bird",0.5348
18,pursuit,"Bird",0.5571
19,ambush,"Bird",0.5390
19,pursuit,"Bird",0.5068
20,pursuit,"Bird",0.5658
20,ambush,"Bird",0.5935
21,pursuit,"Bird",0.5000
21,ambush,"Bird",0.5738
22,pursuit,"Bird",0.6301
22,ambush,"Bird",0.5487
23,pursuit,"Bird",0.5000
23,ambush,"Bird",0.6262
24,pursuit,"Bird",0.6479
24,ambush,"Bird",0.6311
25,pursuit,"Bird",0.5979
25,ambush,"Bird",0.5707
26,pursuit,"Bird",0.5164
26,ambush,"Bird",0.6058
27,pursuit,"Bird",0.5476
27,ambush,"Bird",0.6031
28,pursuit,"Bird",0.5507
28,ambush,"Bird",0.6542
29,pursuit,"Bird",0.5370
29,ambush,"Bird",0.5476
30,pursuit,"Bird",0.5337
30,ambush,"Bird",0.4565
31,pursuit,"Bird",0.5792
31,ambush,"Bird",0.3333
32,pursuit,"Bird",0.5641
32,ambush,"Bird",0.6667
33,pursuit,"Bird",0.5825
33,ambush,"Bird",0.2000
34,pursuit,"Bird",0.5723
34,ambush,"Bird",0.0000
35,pursuit,"Bird",0.5667
36,pursuit,"Bird",0.5127
37,pursuit,"Bird",0.5625
38,pursuit,"Bird",0.5899
39,pursuit,"Bird",0.6014
40,pursuit,"Bird",0.6066
41,pursuit,"Bird",0.5040
42,pursuit,"Bird",0.6186
43,pursuit,"Bird",0.5859
44,pursuit,"Bird",0.5152
45,pursuit,"Bird",0.5556
46,pursuit,"Bird",0.6400
47,pursuit,"Bird",0.5269
48,pursuit,"Bird",0.5700
49,pursuit,"Bird",0.5000
50,pursuit,"Bird",0.5400
51,pursuit,"Bird",0.6100
52,pursuit,"Bird",0.5300
53,pursuit,"Bird",0.6400
54,pursuit,"Bird",0.6200
55,pursuit,"Bird",0.5253
56,pursuit,"Bird",0.5859
57,pursuit,"Bird",0.5714
58,pursuit,"Bird",0.5758
59,pursuit,"Bird",0.5313
60,pursuit,"Bird",0.4646
61,pursuit,"Bird",0.5581
62,pursuit,"Bird",0.5426
63,pursuit,"Bird",0.6020
64,pursuit,"Bird",0.5979
65,pursuit,"Bird",0.5400
66,pursuit,"Bird",0.5253
67,pursuit,"Bird",0.5102
68,pursuit,"Bird",0.5100
69,pursuit,"Bird",0.5102
70,pursuit,"Bird",0.5354
71,pursuit,"Bird",0.5051
72,pursuit,"Bird",0.5758
73,pursuit,"Bird",0.4600
74,pursuit,"Bird",0.5176
75,pursuit,"Bird",0.5361
76,pursuit,"Bird",0.5361
77,pursuit,"Bird",0.6300
78,pursuit,"Bird",0.6200
79,pursuit,"Bird",0.6500
80,pursuit,"Bird",0.5200
81,pursuit,"Bird",0.6733
82,pursuit,"Bird",0.5810
83,pursuit,"Bird",0.5728
84,pursuit,"Bird",0.5579
85,pursuit,"Bird",0.5490
86,pursuit,"Bird",0.4500
87,pursuit,"Bird",0.5495
88,pursuit,"Bird",0.4211
89,pursuit,"Bird",0.4189
90,pursuit,"Bird",0.5077
91,pursuit,"Bird",0.5429
92,pursuit,"Bird",0.5965
93,pursuit,"Bird",0.5942
94,pursuit,"Bird",0.5128
95,pursuit,"Bird",0.5750
96,pursuit,"Bird",0.5222
97,pursuit,"Bird",0.5667
98,pursuit,"Bird",0.5859
99,pursuit,"Bird",0.4796
100,pursuit,"Bird",0.5938
