Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,82.0,7.0,67.0,62.0,1.0,Bird
0.0,pursuit,82.0,54.0,24.0,76.0,0.0,Bird
0.0,pursuit,93.0,13.0,85.0,98.0,0.0,Bird
0.0,pursuit,61.0,98.0,91.0,26.0,0.0,Bird
0.0,pursuit,71.0,70.0,66.0,70.0,1.0,Bird
0.0,pursuit,23.0,11.0,4.0,29.0,0.0,Bird
0.0,pursuit,98.0,62.0,49.0,6.0,0.0,Bird
0.0,pursuit,58.0,9.0,22.0,18.0,0.0,Bird
0.0,pursuit,95.0,18.0,91.0,84.0,1.0,Bird
0.0,pursuit,81.0,59.0,62.0,14.0,0.0,Bird
0.0,pursuit,47.0,88.0,19.0,23.0,0.0,Bird
0.0,pursuit,21.0,45.0,2.0,91.0,0.0,Bird
0.0,pursuit,67.0,1.0,1.0,76.0,0.0,Bird
0.0,pursuit,52.0,83.0,90.0,89.0,0.0,Bird
0.0,pursuit,78.0,71.0,6.0,17.0,0.0,Bird
0.0,pursuit,62.0,40.0,99.0,97.0,1.0,Bird
0.0,pursuit,18.0,14.0,94.0,77.0,1.0,Bird
0.0,pursuit,16.0,75.0,10.0,83.0,0.0,Bird
0.0,pursuit,4.0,57.0,71.0,18.0,0.0,Bird
0.0,pursuit,33.0,90.0,14.0,61.0,0.0,Bird
0.0,pursuit,68.0,31.0,57.0,46.0,0.0,Bird
0.0,pursuit,77.0,9.0,63.0,59.0,0.0,Bird
0.0,pursuit,16.0,98.0,58.0,96.0,0.0,Bird
0.0,pursuit,94.0,85.0,7.0,19.0,0.0,Bird
0.0,pursuit,100.0,87.0,30.0,34.0,0.0,Bird
0.0,pursuit,33.0,18.0,32.0,68.0,0.0,Bird
0.0,pursuit,73.0,93.0,72.0,95.0,0.0,Bird
0.0,pursuit,22.0,14.0,17.0,96.0,0.0,Bird
0.0,pursuit,87.0,46.0,69.0,16.0,0.0,Bird
0.0,pursuit,34.0,75.0,24.0,74.0,0.0,Bird
0.0,pursuit,64.0,98.0,25.0,10.0,0.0,Bird
0.0,pursuit,17.0,94.0,30.0,49.0,0.0,Bird
0.0,pursuit,99.0,76.0,35.0,42.0,0.0,Bird
0.0,pursuit,53.0,90.0,8.0,44.0,0.0,Bird
0.0,pursuit,14.0,94.0,1.0,37.0,0.0,Bird
0.0,pursuit,35.0,32.0,33.0,100.0,0.0,Bird
0.0,pursuit,94.0,41.0,74.0,43.0,0.0,Bird
0.0,pursuit,58.0,50.0,48.0,2.0,0.0,Bird
0.0,pursuit,3.0,97.0,2.0,40.0,0.0,Bird
0.0,pursuit,50.0,45.0,60.0,100.0,1.0,Bird
0.0,pursuit,69.0,62.0,3.0,14.0,0.0,Bird
0.0,pursuit,74.0,75.0,77.0,71.0,0.0,Bird
0.0,pursuit,84.0,52.0,86.0,6.0,0.0,Bird
0.0,pursuit,61.0,70.0,38.0,83.0,0.0,Bird
