Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,66.0,58.0,17.0,64.0,0.0,Mouse
0.0,pursuit,74.0,41.0,93.0,9.0,0.0,Mouse
0.0,pursuit,50.0,22.0,55.0,90.0,0.0,Mouse
0.0,pursuit,52.0,76.0,69.0,11.0,0.0,Mouse
0.0,pursuit,70.0,10.0,9.0,83.0,0.0,Mouse
0.0,pursuit,62.0,30.0,89.0,90.0,0.0,Mouse
0.0,pursuit,9.0,35.0,17.0,91.0,0.0,Mouse
0.0,pursuit,34.0,48.0,9.0,96.0,0.0,Mouse
0.0,pursuit,13.0,63.0,45.0,72.0,0.0,Mouse
0.0,pursuit,84.0,9.0,10.0,30.0,0.0,Mouse
0.0,pursuit,33.0,99.0,78.0,10.0,0.0,Mouse
0.0,pursuit,53.0,25.0,14.0,95.0,0.0,Mouse
0.0,pursuit,44.0,66.0,40.0,33.0,0.0,Mouse
0.0,pursuit,70.0,22.0,1.0,54.0,0.0,Mouse
0.0,pursuit,1.0,14.0,72.0,98.0,0.0,Mouse
0.0,pursuit,40.0,61.0,9.0,10.0,0.0,Mouse
0.0,pursuit,3.0,13.0,11.0,99.0,0.0,Mouse
0.0,pursuit,41.0,22.0,17.0,80.0,0.0,Mouse
0.0,pursuit,3.0,11.0,62.0,36.0,0.0,Mouse
0.0,pursuit,68.0,89.0,26.0,53.0,0.0,Mouse
0.0,pursuit,80.0,22.0,38.0,62.0,0.0,Mouse
0.0,pursuit,4.0,87.0,86.0,72.0,0.0,Mouse
0.0,pursuit,38.0,1.0,14.0,16.0,0.0,Mouse
0.0,pursuit,26.0,65.0,58.0,71.0,0.0,Mouse
0.0,pursuit,70.0,69.0,85.0,15.0,0.0,Mouse
0.0,pursuit,8.0,11.0,52.0,55.0,0.0,Mouse
0.0,pursuit,67.0,65.0,62.0,4.0,0.0,Mouse
0.0,pursuit,36.0,17.0,57.0,61.0,1.0,Mouse
0.0,pursuit,96.0,76.0,48.0,74.0,0.0,Mouse
0.0,pursuit,10.0,29.0,21.0,79.0,0.0,Mouse
0.0,pursuit,43.0,21.0,72.0,8.0,0.0,Mouse
0.0,pursuit,85.0,41.0,44.0,96.0,0.0,Mouse
0.0,pursuit,27.0,4.0,30.0,59.0,0.0,Mouse
0.0,pursuit,74.0,57.0,50.0,70.0,0.0,Mouse
0.0,pursuit,22.0,35.0,42.0,93.0,0.0,Mouse
0.0,pursuit,81.0,99.0,46.0,19.0,0.0,Mouse
0.0,pursuit,66.0,25.0,27.0,52.0,0.0,Mouse
0.0,pursuit,41.0,43.0,72.0,35.0,0.0,Mouse
0.0,pursuit,70.0,26.0,69.0,19.0,0.0,Mouse
0.0,pursuit,85.0,62.0,76.0,44.0,0.0,Mouse
0.0,pursuit,26.0,3.0,33.0,41.0,0.0,Mouse
0.0,pursuit,16.0,31.0,40.0,15.0,0.0,Mouse
0.0,pursuit,73.0,88.0,51.0,38.0,0.0,Mouse
0.0,pursuit,84.0,51.0,84.0,76.0,0.0,Mouse
0.0,pursuit,3.0,93.0,76.0,87.0,0.0,Mouse
0.0,pursuit,92.0,54.0,13.0,78.0,0.0,Mouse
0.0,pursuit,20.0,99.0,16.0,46.0,0.0,Mouse
0.0,pursuit,18.0,98.0,50.0,24.0,0.0,Mouse
0.0,pursuit,42.0,46.0,11.0,8.0,0.0,Mouse
0.0,pursuit,81.0,40.0,57.0,89.0,0.0,Mouse
0.0,pursuit,86.0,13.0,26.0,47.0,0.0,Mouse
0.0,pursuit,42.0,97.0,11.0,85.0,0.0,Mouse
0.0,pursuit,37.0,25.0,9.0,39.0,0.0,Mouse
